sender,recipient,share,power1,order_type,power2,stance of recipient
AUSTRIA,ENGLAND,1,AUSTRIA,move,,neutral
AUSTRIA,ENGLAND,0,AUSTRIA,move,,neutral
AUSTRIA,ENGLAND,1,AUSTRIA,move,,neutral
AUSTRIA,FRANCE,0,AUSTRIA,move,,neutral
AUSTRIA,FRANCE,1,AUSTRIA,move,,neutral
AUSTRIA,FRANCE,1,AUSTRIA,move,,neutral
AUSTRIA,GERMANY,0,AUSTRIA,move,,neutral
AUSTRIA,GERMANY,1,AUSTRIA,move,,neutral
AUSTRIA,GERMANY,0,AUSTRIA,move,,neutral
AUSTRIA,ITALY,1,AUSTRIA,move,,neutral
AUSTRIA,ITALY,0,AUSTRIA,move,,neutral
AUSTRIA,ITALY,1,AUSTRIA,move,,neutral
AUSTRIA,RUSSIA,0,AUSTRIA,move,,neutral
AUSTRIA,RUSSIA,1,AUSTRIA,move,,neutral
AUSTRIA,RUSSIA,1,AUSTRIA,move,,neutral
AUSTRIA,TURKEY,0,AUSTRIA,move,,neutral
AUSTRIA,TURKEY,1,AUSTRIA,move,,neutral
AUSTRIA,TURKEY,1,AUSTRIA,move,,neutral
AUSTRIA,ENGLAND,0,AUSTRIA,move,,neutral
AUSTRIA,ENGLAND,1,AUSTRIA,move,,neutral
AUSTRIA,ENGLAND,0,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,FRANCE,0,AUSTRIA,move,,neutral
AUSTRIA,FRANCE,1,AUSTRIA,move,,neutral
AUSTRIA,FRANCE,1,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,GERMANY,1,AUSTRIA,move,,neutral
AUSTRIA,GERMANY,0,AUSTRIA,move,,neutral
AUSTRIA,GERMANY,1,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,ITALY,1,AUSTRIA,move,,neutral
AUSTRIA,ITALY,1,AUSTRIA,move,,neutral
AUSTRIA,ITALY,0,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,RUSSIA,1,AUSTRIA,move,,neutral
AUSTRIA,RUSSIA,1,AUSTRIA,move,,neutral
AUSTRIA,RUSSIA,1,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,TURKEY,1,AUSTRIA,move,,neutral
AUSTRIA,TURKEY,0,AUSTRIA,move,,neutral
AUSTRIA,TURKEY,1,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,ENGLAND,1,AUSTRIA,attack,RUSSIA,neutral
AUSTRIA,ENGLAND,0,AUSTRIA,move,,neutral
AUSTRIA,ENGLAND,1,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,FRANCE,1,AUSTRIA,attack,RUSSIA,neutral
AUSTRIA,FRANCE,1,AUSTRIA,move,,neutral
AUSTRIA,FRANCE,0,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,GERMANY,0,AUSTRIA,attack,RUSSIA,neutral
AUSTRIA,GERMANY,0,AUSTRIA,move,,neutral
AUSTRIA,GERMANY,1,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,ITALY,1,AUSTRIA,attack,RUSSIA,enemy
AUSTRIA,ITALY,1,AUSTRIA,move,,enemy
AUSTRIA,ITALY,0,AUSTRIA,support,AUSTRIA,enemy
AUSTRIA,RUSSIA,0,AUSTRIA,attack,RUSSIA,neutral
AUSTRIA,RUSSIA,1,AUSTRIA,move,,neutral
AUSTRIA,RUSSIA,1,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,TURKEY,1,AUSTRIA,attack,RUSSIA,neutral
AUSTRIA,TURKEY,1,AUSTRIA,move,,neutral
AUSTRIA,TURKEY,1,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,ENGLAND,0,AUSTRIA,attack,ITALY,neutral
AUSTRIA,ENGLAND,0,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,ENGLAND,1,AUSTRIA,attack,TURKEY,neutral
AUSTRIA,FRANCE,0,AUSTRIA,attack,ITALY,neutral
AUSTRIA,FRANCE,0,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,FRANCE,0,AUSTRIA,attack,TURKEY,neutral
AUSTRIA,GERMANY,1,AUSTRIA,attack,ITALY,neutral
AUSTRIA,GERMANY,0,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,GERMANY,1,AUSTRIA,attack,TURKEY,neutral
AUSTRIA,ITALY,0,AUSTRIA,attack,ITALY,enemy
AUSTRIA,ITALY,1,AUSTRIA,support,AUSTRIA,enemy
AUSTRIA,ITALY,1,AUSTRIA,attack,TURKEY,enemy
AUSTRIA,RUSSIA,1,AUSTRIA,attack,ITALY,enemy
AUSTRIA,RUSSIA,0,AUSTRIA,support,AUSTRIA,enemy
AUSTRIA,RUSSIA,1,AUSTRIA,attack,TURKEY,enemy
AUSTRIA,TURKEY,1,AUSTRIA,attack,ITALY,neutral
AUSTRIA,TURKEY,0,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,TURKEY,1,AUSTRIA,attack,TURKEY,neutral
AUSTRIA,ENGLAND,1,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,ENGLAND,1,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,FRANCE,0,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,FRANCE,1,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,GERMANY,0,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,GERMANY,1,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,ITALY,0,AUSTRIA,support,AUSTRIA,enemy
AUSTRIA,ITALY,1,AUSTRIA,support,AUSTRIA,enemy
AUSTRIA,RUSSIA,0,AUSTRIA,support,AUSTRIA,enemy
AUSTRIA,RUSSIA,1,AUSTRIA,support,AUSTRIA,enemy
AUSTRIA,TURKEY,1,AUSTRIA,support,AUSTRIA,enemy
AUSTRIA,TURKEY,1,AUSTRIA,support,AUSTRIA,enemy
AUSTRIA,ENGLAND,1,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,ENGLAND,1,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,FRANCE,0,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,FRANCE,1,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,GERMANY,0,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,GERMANY,1,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,ITALY,1,AUSTRIA,support,AUSTRIA,enemy
AUSTRIA,ITALY,0,AUSTRIA,support,AUSTRIA,enemy
AUSTRIA,RUSSIA,1,AUSTRIA,support,AUSTRIA,enemy
AUSTRIA,RUSSIA,0,AUSTRIA,support,AUSTRIA,enemy
AUSTRIA,TURKEY,1,AUSTRIA,support,AUSTRIA,enemy
AUSTRIA,TURKEY,0,AUSTRIA,support,AUSTRIA,enemy
